"COMPETENCY","COURSE","MEASURE"
"Diversity","HUMN 240","02) A constructed response exam (short answer, essay, etc.)"
"Culture","HUMN 240","02) A constructed response exam (short answer, essay, etc.)"
"Culture","HUMN 101","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","PHSC 115","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Problem Solving","PSYC 280","12) An oral presentation"
"Problem Solving","HIST 122","06) A medium written report (3 to 9 pages in length)"
"Problem Solving","HIST 122","06) A medium written report (3 to 9 pages in length)"
"Problem Solving","HIST 121","06) A medium written report (3 to 9 pages in length)"
"Problem Solving","HIST 121","06) A medium written report (3 to 9 pages in length)"
"Diversity","HIST 122","06) A medium written report (3 to 9 pages in length)"
"Diversity","HIST 121","06) A medium written report (3 to 9 pages in length)"
"Natural Sciences","BIOL 101","05) A short written report (1 to 2 pages in length)"
"Problem Solving","BIOL 375","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","BIOL 116","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","BIOL 286","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","CHEM 121","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","PSYC 325","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 325","01) A selected response exam (T/F, multiple-choice, etc.)"
"Problem Solving","PSYC 325","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","PSYC 325","05) A short written report (1 to 2 pages in length)"
"Collaboration","PSYC 325","13) A student performance"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Culture","MUSI 160","13) A student performance"
"Culture","MUSI 271","13) A student performance"
"Culture","MUSI 221","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","PSYC 210","08) A student project"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","MUSI 458","03) A pre- and post-test"
"Culture","MUSI 236","02) A constructed response exam (short answer, essay, etc.)"
"Culture","MUSI 228","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","PLSC 251","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","PLSC 251","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","PLSC 121","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","PLSC 121","02) A constructed response exam (short answer, essay, etc.)"
"Collaboration","MATH 322","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","MATH 322","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","BIOL 205","01) A selected response exam (T/F, multiple-choice, etc.)"
"Quantitative Literacy","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Collaboration","MATH 324","12) An oral presentation"
"Problem Solving","MATH 324","05) A short written report (1 to 2 pages in length)"
"Diversity","PLSC 341","06) A medium written report (3 to 9 pages in length)"
"Self and Society","PLSC 341","06) A medium written report (3 to 9 pages in length)"
"Self and Society","PLSC 411","06) A medium written report (3 to 9 pages in length)"
"Diversity","PLSC 121","06) A medium written report (3 to 9 pages in length)"
"Self and Society","PLSC 121","06) A medium written report (3 to 9 pages in length)"
"Quantitative Literacy","MATH 130","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Communication","COMM 121","03) A pre- and post-test"
"Communication","COMM 121","04) A standardized test"
"Natural Sciences","BIOL 207","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","CHEM 114","01) A selected response exam (T/F, multiple-choice, etc.)"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 109","08) A student project"
"Collaboration","PUBH 420","12) An oral presentation"
"Diversity","PSYC 422","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 422","12) An oral presentation"
"Natural Sciences","GEOL 131","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","GEOL 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","HIST 230","06) A medium written report (3 to 9 pages in length)"
"Culture","HIST 309","06) A medium written report (3 to 9 pages in length)"
"Culture","HIST 122","12) An oral presentation"
"Natural Sciences","BIOL 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Collaboration","BIOL 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Communication","COMM 105","03) A pre- and post-test"
"Communication","COMM 105","12) An oral presentation"
"Communication","COMM 105","03) A pre- and post-test"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Communication","LITR 300","06) A medium written report (3 to 9 pages in length)"
"Communication","LITR 200","06) A medium written report (3 to 9 pages in length)"
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Collaboration","CPSC 320","11) A capstone project"
"Problem Solving","DMOL 491","09) A laboratory report"
"Natural Sciences","CHEM 103","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","CHEM 140","07) A long written report (10 or more pages in length)"
"Culture","HIST 352","07) A long written report (10 or more pages in length)"
"Culture","HIST 211","08) A student project"
"Self and Society","PSYC 410","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Problem Solving","ACCT 201","08) A student project"
"Quantitative Literacy","MATH 117","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","PHYS 241","09) A laboratory report"
"Natural Sciences","PHYS 211","09) A laboratory report"
"Communication","COMM 121","12) An oral presentation"
"Communication","COMM 105","03) A pre- and post-test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","03) A pre- and post-test"
"Natural Sciences","GEOG 121","05) A short written report (1 to 2 pages in length)"
"Natural Sciences","GEOG 111","05) A short written report (1 to 2 pages in length)"
"Communication","COMM 121","14) An oral interview"
"Communication","COMM 121","03) A pre- and post-test"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Quantitative Literacy","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","PSYC 350","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","PSYC 310","08) A student project"
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","PSYC 310","08) A student project"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Collaboration","GMAN 425","08) A student project"
"Natural Sciences","BIOL 109","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","RELG 326","03) A pre- and post-test"
"Culture","RELG 326","03) A pre- and post-test"
"Diversity","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Culture","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Diversity","RELG 215","03) A pre- and post-test"
"Culture","RELG 215","03) A pre- and post-test"
"Culture","PHIL 115","02) A constructed response exam (short answer, essay, etc.)"
"Culture","PHIL 320","05) A short written report (1 to 2 pages in length)"
"Culture","PHIL 217","06) A medium written report (3 to 9 pages in length)"
"Culture","PHIL 203","06) A medium written report (3 to 9 pages in length)"
"Natural Sciences","BIOL 103","01) A selected response exam (T/F, multiple-choice, etc.)"
"Problem Solving","HSMG 215","04) A standardized test"
"Culture","THTR 215","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","THTR 222","05) A short written report (1 to 2 pages in length)"
"Diversity","HSMG 226","08) A student project"
"Natural Sciences","PHYS 212","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","PHYS 211","01) A selected response exam (T/F, multiple-choice, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","HIST 311","08) A student project"
"Culture","HIST 311","08) A student project"
"Culture","ARTH 312","08) A student project"
"Culture","HIST 331","05) A short written report (1 to 2 pages in length)"
"Communication","COMM 121","03) A pre- and post-test"
"Communication","COMM 121","12) An oral presentation"
"Communication","COMM 251","12) An oral presentation"
"Communication","COMM 251","03) A pre- and post-test"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Communication","COMM 221","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","HSMG 114","08) A student project"
"Diversity","SOCY 230","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 340","01) A selected response exam (T/F, multiple-choice, etc.)"
"Problem Solving","SOCY 340","06) A medium written report (3 to 9 pages in length)"
"Natural Sciences","CHEM 121","02) A constructed response exam (short answer, essay, etc.)"
"Communication","COMM 221","04) A standardized test"
"Communication","COMM 221","04) A standardized test"
"Communication","COMM 121","03) A pre- and post-test"
"Communication","COMM 121","03) A pre- and post-test"
"Diversity","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Culture","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Culture","ARTS 101","08) A student project"
"Natural Sciences","CHEM 121","02) A constructed response exam (short answer, essay, etc.)"
"Collaboration","HSMG 312","12) An oral presentation"
"Natural Sciences","CHEM 207","01) A selected response exam (T/F, multiple-choice, etc.)"
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)"
"Culture","MUSI 280","13) A student performance"
"Culture","MUSI 201","13) A student performance"
"Culture","MUSI 121","03) A pre- and post-test"
"Diversity","SOCY 340","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","SOCY 340","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","SOCY 230","02) A constructed response exam (short answer, essay, etc.)"
"Self and Society","SOCY 230","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Communication","HVAC 451","07) A long written report (10 or more pages in length)"
"Collaboration","HVAC 451","07) A long written report (10 or more pages in length)"
"Problem Solving","HVAC 451","07) A long written report (10 or more pages in length)"
"Collaboration","COHP 350","08) A student project"
"Problem Solving","COHP 350","01) A selected response exam (T/F, multiple-choice, etc.)"
"Natural Sciences","BIOL 108","01) A selected response exam (T/F, multiple-choice, etc.)"
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","ANTH 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","ANTH 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Communication","COMM 121","12) An oral presentation"
"Communication","COMM 121","04) A standardized test"
"Culture","PHOT 101","10) A student portfolio"
"Communication","COMM 121","03) A pre- and post-test"
"Communication","COMM 121","12) An oral presentation"
"Communication","COMM 121","04) A standardized test"
"Diversity","PSYC 226","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 341","08) A student project"
"Diversity","PSYC 341","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 341","08) A student project"
"Diversity","PSYC 341","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 226","08) A student project"
"Natural Sciences","CHEM 211","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","ARTH 110","02) A constructed response exam (short answer, essay, etc.)"
"Culture","ARTH 111","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","ARTH 250","06) A medium written report (3 to 9 pages in length)"
"Culture","ARTH 250","06) A medium written report (3 to 9 pages in length)"
"Collaboration","NURS 470","06) A medium written report (3 to 9 pages in length)"
"Problem Solving","NURS 471","11) A capstone project"
"Collaboration","NURS 440","07) A long written report (10 or more pages in length)"
"Problem Solving","NURS 450","11) A capstone project"
"Self and Society","GEOG 201","06) A medium written report (3 to 9 pages in length)"
"Culture","ARTS 130","08) A student project"
"Culture","ARTS 101","08) A student project"
"Culture","ARTS 220","08) A student project"
"Quantitative Literacy","MATH 117","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","COMM 365","05) A short written report (1 to 2 pages in length)"
"Diversity","COMM 366","05) A short written report (1 to 2 pages in length)"
"Self and Society","COMM 366","08) A student project"
"Self and Society","COMM 365","03) A pre- and post-test"
"Collaboration","CLLS 494","11) A capstone project"
"Problem Solving","BIOL 473","09) A laboratory report"
"Culture","MUSI 262","13) A student performance"
"Culture","MUSI 262","13) A student performance"
"Quantitative Literacy","MATH 120","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 115","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","BIOL 460","12) An oral presentation"
"Collaboration","BIOL 460","06) A medium written report (3 to 9 pages in length)"
"Communication","COMM 105","12) An oral presentation"
"Communication","COMM 105","03) A pre- and post-test"
"Communication","COMM 105","04) A standardized test"
"Culture","PHIL 320","02) A constructed response exam (short answer, essay, etc.)"
"Culture","FILM 253","07) A long written report (10 or more pages in length)"
"Culture","PHIL 320","06) A medium written report (3 to 9 pages in length)"
"Culture","FILM 253","08) A student project"
"Diversity","RELG 325","02) A constructed response exam (short answer, essay, etc.)"
"Culture","RELG 325","02) A constructed response exam (short answer, essay, etc.)"
"Problem Solving","ACCT 202","08) A student project"
"Natural Sciences","PHYS 130","02) A constructed response exam (short answer, essay, etc.)"
"Natural Sciences","ASTR 130","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","HIST 259","08) A student project"
"Culture","HIST 259","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","HIST 212","06) A medium written report (3 to 9 pages in length)"
"Culture","HIST 212","06) A medium written report (3 to 9 pages in length)"
"Culture","HIST 121","06) A medium written report (3 to 9 pages in length)"
"Quantitative Literacy","MATH 109","08) A student project"
"Quantitative Literacy","MATH 114","08) A student project"
"Communication","ENGL 311","08) A student project"
"Self and Society","GEOG 100","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","GEOG 100","01) A selected response exam (T/F, multiple-choice, etc.)"
